name,partition,description,value,voices
Prestant,,,16',NULL
Bourdon,,,16',NULL
Prestant,,,8',NULL
Bourdon,,,8',NULL
Violoncel,,,8',NULL
"Zacht gedekt",,,16',NULL
Prestant,,,8',NULL
Roerfluit,,,8',NULL
Salicionaal,,,8',NULL
Unda-Maris,,,8',NULL
Quintadeen,,,16',NULL
Holpijp,,,8',NULL
"Viola di Gamba",,,8',NULL
"Voix Céleste",,,8',NULL
"Gedekt Subbas",,,32',NULL
"Open Bas",,,16',NULL
"Gedekt Subbas",,,16',NULL
Violon,,,16',NULL
Quintbas,,,"10 2/3'",NULL
Fluit,,,8',NULL
Violoncel,,,8',NULL
Doof,,,8',NULL
Holpijp,,,8',NULL
"Flûte harmonique",,,8',NULL
Prestant,,,4',NULL
"Flûte octaviante",,Combinatiestem.,4',NULL
"Quint harmonique",,Combinatiestem.,3',NULL
"Octaaf harmonique",,Combinatiestem.,2',NULL
"Terts harmonique",,Combinatiestem.,"1 3/5'",NULL
Mixtuur,,Combinatiestem.,"3-6 st.",<br>
Bariton,,Combinatiestem.,16',NULL
Trompet,,Combinatiestem.,8',NULL
Fluit-dolce,,,4',NULL
Viool,,Combinatiestem.,4',NULL
Mixtuur,,Combinatiestem.,"2-5 st.",NULL
"Trompet harmonique",,Combinatiestem.,8',NULL
Klarinet,,Combinatiestem.,8',NULL
"Flûte harmonique",,,8',NULL
"Flûte octaviante",,,4',NULL
"Flageolet harm.",,Combinatiestem.,2',NULL
"Piccolo harmonique",,Combinatiestem.,1',NULL
"Sexquialter harmonique",,Combinatiestem.,"2 st.",NULL
"Basson Hobo",,Combinatiestem.,8',NULL
"Vox humana",,,8',NULL
"Trompet harm.",,Combinatiestem.,4',NULL
"Corni dolce",,,4',NULL
Bazuin,,Combinatiestem.,16',NULL
Trombone,,Combinatiestem.,8',NULL
Koppeldoof,,,4',NULL
Openfluit,,,4',NULL
Sifflet,,,"1 1/3'",NULL
Mixtuur,,,NULL,NULL
Scherp,,,NULL,NULL
Trompet,,,8',NULL
Doof,,,8',NULL
Holpijp,,,8',NULL
Koppeldoof,,,4',NULL
Openfluit,,,4',NULL
Sifflet,,,"1 1/3'",NULL
Mixtuur,,,NULL,NULL
Scherp,,,NULL,NULL
Trompet,,,8',NULL
Quintadeen,,,8',NULL
Regaal,,,8',NULL
Fluit?,,,2',NULL
Doof,,,8',NULL
Holpijp,,,8',NULL
Koppeldoof,,,4',NULL
Openfluit,,,4',NULL
Sifflet,,,"1 1/3'",NULL
Mixtuur,,,NULL,NULL
Scherp,,,NULL,NULL
Trompet,,,8',NULL
Quintadeen,,,8',NULL
[Fluit],,,2',NULL
Regaal,,,8',NULL
Trompet,,,8',NULL
Doof,,,8',NULL
Holpijp,,,8',NULL
Koppeldoof,,,4',NULL
Openfluit,,,4',NULL
Sifflet,,,"1 1/3'",NULL
Mixtuur,,,NULL,NULL
Scherp,,,NULL,NULL
Trompet,,,8',NULL
Quintadeen,,,8',NULL
Fluit,,,2',NULL
Toesijn,,,8',NULL
Trompet,,,8',NULL
Quintaton,,,16',NULL
Principal,,,8',NULL
Rorflojte,,,8',NULL
Octav,,,4',NULL
Spidsflojte,,,4',NULL
Octav,,,2',NULL
Mixtur,,,"6-8 st.","<table border="1"" cellspacing=""0"" cellpadding=""0""> <tbody> <tr> <td width=""90"" valign=""top""> <p class=""T1"">Mixtur</p> </td> <td width=""48"" valign=""top""> <p class=""T4dispositie"">C</p> <p class=""T4dispositie"">1 1/3</p> <p class=""T4dispositie"">1</p> <p class=""T4dispositie"">2/3</p> <p class=""T4dispositie"">1/2</p> <p class=""T4dispositie"">1/2</p> <p class=""T4dispositie"">1/3</p> </td> <td width=""48"" valign=""top""> <p class=""T4dispositie"">c</p> <p class=""T4dispositie"">2</p> <p class=""T4dispositie"">1 1/3</p> <p class=""T4dispositie"">1</p> <p class=""T4dispositie"">2/3</p> <p class=""T4dispositie"">2/3</p> <p class=""T4dispositie"">1/2</p> </td> <td width=""48"" valign=""top""> <p class=""T4dispositie"">fis</p> <p class=""T4dispositie"">2</p> <p class=""T4dispositie"">1 1/3</p> <p class=""T4dispositie"">1</p> <p class=""T4dispositie"">1</p> <p class=""T4dispositie"">2/3</p> <p class=""T4dispositie"">2/3</p> </td> <td width=""48"" valign=""top""> <p class=""T4dispositie"">c<sup>1</sup></p> <p class=""T4dispositie"">2 2/3</p> <p class=""T4dispositie"">2</p> <p class=""T4dispositie"">1 1/3</p> <p class=""T4dispositie"">1 1/3</p> <p class=""T4dispositie"">1</p> <p class=""T4dispositie"">1</p> <p class=""T4dispositie"">2/3</p> </td> <td width=""48"" valign=""top""> <p class=""T4dispositie"">fis<sup>1</sup></p> <p class=""T4dispositie"">2 2/3</p> <p class=""T4dispositie"">2</p> <p class=""T4dispositie"">2</p> <p class=""T4dispositie"">1 1/3</p> <p class=""T4dispositie"">1 1/3</p> <p class=""T4dispositie"">1</p> <p class=""T4dispositie"">1</p> </td> <td width=""48"" valign=""top""> <p class=""T4dispositie"">c<sup>2</sup></p> <p class=""T4dispositie"">4</p> <p class=""T4dispositie"">2 2/3</p> <p class=""T4dispositie"">2 2/3</p> <p class=""T4dispositie"">2</p> <p class=""T4dispositie"">2</p> <p class=""T4dispositie"">1 1/3</p> <p class=""T4dispositie"">1 1/3</p> <p class=""T4dispositie"">1</p> </td> <td width=""49"" valign=""top""> <p class=""T4dispositie"">fis<sup>2</sup></p> <p class=""T4dispositie"">4</p> <p class=""T4dispositie"">4</p> <p class=""T4dispositie"">2 2/3</p> <p class=""T4dispositie"">2 2/3</p> <p class=""T4dispositie"">2</p> <p class=""T4dispositie"">2</p> <p class=""T4dispositie"">1 1/3</p> <p class=""T4dispositie"">1 1/3</p> </td> <td width=""49"" valign=""top""> <p class=""T4dispositie"">c<sup>3</sup></p> <p class=""T4dispositie"">5 1/3</p> <p class=""T4dispositie"">4</p> <p class=""T4dispositie"">4</p> <p class=""T4dispositie"">2 2/3</p> <p class=""T4dispositie"">2 2/3</p> <p class=""T4dispositie"">2</p> <p class=""T4dispositie"">2</p> <p class=""T4dispositie"">1 1/3</p> </td> <td width=""48"" valign=""top""> <p class=""T4dispositie"">d<sup>3</sup></p> <p class=""T4dispositie"">5 1/3</p> <p class=""T4dispositie"">4</p> <p class=""T4dispositie"">4</p> <p class=""T4dispositie"">2 2/3</p> <p class=""T4dispositie"">2 2/3</p> <p class=""T4dispositie"">2</p> <p class=""T4dispositie"">2</p> </td> </tr> </tbody> </table>""
