"organid"	"sentence"
"Part01_001MIDDE"	"Dit orgel behield veel van z'n 15e- en 16e-eeuwse bestanddelen."
"Part01_001MIDDE"	"Van Peter Gerritsz resteren de hoofdkas, de blokwerklade en de wellenborden van hoofd- en bovenwerk."
"Part01_001MIDDE"	"De binnenpijpen en (tinnen) frontpijpen van het blokwerk zijn eveneens van zijn hand."
"Part01_001MIDDE"	"Van Cornelis Gerritsz zijn nog aanwezig de springladen van het bovenwerk en de sleepladen van het rugpositief, het wellenbord van het rugwerk en de registermechaniek van rugpositief en bovenwerk."
"Part01_001MIDDE"	"Het grootste deel van het thans nog aanwezige pijpwerk werd door hem vervaardigd."
"Part01_001MIDDE"	"Daaronder bevinden zich ook de frontpijpen van rugpositief en bovenwerk."
"Part01_001MIDDE"	"Waarschijnlijk is de pedaallade met de de Trompet 8' van Dirck Petersz de Swart en Jacob Jansz van Lin."
"Part01_001MIDDE"	"De loden frontpijpen werden vermoedelijk gemaakt door Galtus van Hagerbeer in 1624."
"Part01_001MIDDE"	"De klaviatuur is van Christian Müller."
"Part01_002UTREJ"	"Bij de vernieuwing in 1742 gebruikte Garrels een deel van het oude pijpwerk (HW Prestant 16', Octaaf 8, Octaaf 4', Quint 3' en Octaaf 2', Ped Bourdon 16' ged., Octaaf 4'), dat hij met eigen pijpen completeerde."
"Part01_002UTREJ"	"Nieuw maakte hij HW Holpijp 8', Roerfluit 4' (beide van oud materiaal), Sexquialter, Mixtuur, Openfluit 4' en Ped Octaaf 8' en Bazuin 16'."
"Part01_002UTREJ"	"Alle genoemde registers van voor 1742 of van 1742 zijn nog aanwezig."
"Part01_002UTREJ"	"De Cornet is van J.H.H. Bätz, aangevuld met nieuwe pijpen."
"Part01_002UTREJ"	"Het rugpositief is grotendeels van Meere."
"Part01_003ALKMA"	"Van dit oudst bespeelbare orgel van Nederland bleven vele 16e-eeuwse delen bleven bewaard: laden van HW, BoW en Ped, wellenborden en klavieren."
"Part01_003ALKMA"	"Het pedaalklavier is van Duyschot."
"Part01_003ALKMA"	"De prestanten op de onderlade zijn grotendeels van Van Covelens."
"Part01_003ALKMA"	"De Holpijp 8' en de (huidige) Gemshoorn 2' zijn eveneens van zijn hand."
"Part01_003ALKMA"	"De frontpijpen werden geplaatst door Jacobus van Hagerbeer in 1652."
"Part01_003ALKMA"	"Van Claes Willemsz zijn nog aanwezig het borstwerkregister Quintadeen 8' en de bekers van de Trompet (Ped)."
"Part01_003ALKMA"	"Jan Jacobsz van Lin maakte de conische Fluit 4' (HW) en de Octaaf 2' (BoW)."
"Part01_003ALKMA"	"Van Ypma is de Roerfluit 4' (BoW)."
"Part01_004OOSTH"	"Helaas is het orgel tijdens de laatste restauratie niet grondig genventariseerd."
"Part01_004OOSTH"	"Enkele voorlopige waarnemingen leveren het volgende beeld op."
"Part01_004OOSTH"	"Het pijpwerk heeft een nogal heterogeen karakter."
"Part01_004OOSTH"	"De prestanten zijn voor het grootste deel zeer oud, vermoedelijk zelfs 15e-eeuws."
"Part01_004OOSTH"	"De Octaaf 4' is nog ouder, mogelijk uit het begin van de 15e eeuw."
"Part01_004OOSTH"	"De Bourdon 16' is een in de 17e eeuw omgebouwde Holpijp 8'."
"Part01_004OOSTH"	"De huidige frontpijpen zijn niet voor dit orgel gemaakt, maar maakten ooit deel uit van een zestienvoets front."
"Part01_004OOSTH"	"Daarentegen hebben pijpen van de Octaaf 4', getuige de aanwezige folieresten, ooit als frontpijpen gefungeerd."
"Part01_004OOSTH"	"Hopelijk zal dit bijzondere orgel z'n geheimen ooit prijsgeven!"
"Part01_006AMDAM"	"Het jaartal 1526 bevindt zich op de in Scheemda achtergebleven borstwering."
"Part01_007KREWE"	"Pedaal met touwen aangehangen."
"Part01_007KREWE"	"De Prestant 8', Holpijp 8', Octaaf 4', Quint 3' en Super Octaaf 2' zijn 16e-eeuwse registers."
"Part01_008BREDA"	"Deling B/D BoW tussen c1 en cis1."
"Part01_008BREDA"	"Plaats klaviatuur voorzijde hoofdkas  Bijzonderheden De windladen van HW en Ped zijn nieuw, die van RP en BW zijn van 1790 en de borstwerklade is van ca 1760."
"Part01_008BREDA"	"In een aantal registers werd pijpwerk van Jan van Covelens aangetroffen."
"Part01_008BREDA"	"Aangezien deze orgelmaker in 1532 overleed, zou een mogelijke verklaring hiervoor kunnen zijn dat een orgelbouwer als Hans Graurock onvoltooid werk van Van Covelens voltooide."
"Part01_008BREDA"	"Uit de 16e eeuw (Van Covelens, 1534 of kort daarna) stammen delen van de volgende registers: HW Cornet; RP Prestant 8', Holpijp 8', Octaaf 4'; BW Gedekt 16, Holpijp 8', Octaaf 4', Nasard 3', Mixtuur (bas); Ped Gedekt 8'."
"Part01_008BREDA"	"Uit de 17e eeuw dateren: HW Prestant 16', Prestant 8'; RP Octaaf 4'; BW Holpijp 8', Nasard 3' (ged.), Mixtuur (ged.)."
"Part01_008BREDA"	"Uit de 18e eeuw: RP Holpijp 8', Fluit 4', Octaaf 2'."
"Part01_008BREDA"	"BW Nasard 3' (ged.); BoW alles behalve de Cornet."
"Part01_008BREDA"	"Uit de 19e eeuw: HW Cornet (ged.); RP Octaaf 2'; BW Viola 8', Hobo 8'; BoW Cornet; Ped Subbas 16'."
"Part01_008BREDA"	"Het overige pijpwerk is nieuw."
"Part01_009ROTTL"	"Regaal 16' (BoW) uitgevoerd als horizontaal tongwerk."
"Part01_010GRON"	"HW uit 1816 Salicet 8', Gedektfluit 4' en Vlakfluit 2', rest 1730 en ouder; Ped uit 1854 Roerquint 6'; rest uit 1740 en ouder."
"Part01_011ENKHU"	"HW, BW en Ped pneumatisch, RP mechanisch."
"Part01_013HATTE"	"De volgende 16e-eeuwse registers bleven geheel of gedeeltelijk bewaard: Prestant 8', Octaaf 4', Mixtuur, Holpijp 8', Openfluit 4', Gemshoorn 2', Nasard 2 2/3' (?), Sifflet 1' (?) en Trompet 8'."
"Part01_013HATTE"	"De lade en het wellenbord dateren vermoedelijk uit ca 1625."
"Part01_013HATTE"	"De omvang zal toen op CDEFGA-g2a2 gebracht zijn."
"Part01_013HATTE"	"Jan Slegel heeft het gedeelte a2-c3 toegevoegd."
"Part01_015ABCOU"	"Dit orgel behield slechts zijn frontpijpen."
"Part01_015ABCOU"	"Deze zijn grotendeels van Niehoff, de loden exemplaren zijn van Van Hagerbeer."
"Part01_016BROUW"	"De (tinnen) Niehoff-pijpen in middentoren en zijvelden van het hoofdwerk bleven bewaard."
"Part01_016BROUW"	"De oude frontpijpen van het rugpositief zijn van lood en aanzienlijk jonger dan die van Niehoff."
"Part01_016BROUW"	"De manuaalomvang F-f3 die door Van der Bent wordt vermeld, is onwaarschijnlijk voor windladen van Robbers uit 1747."
"Part01_016BROUW"	"Men mag daarom aannemen dat deze de oude laden gehandhaafd heeft."
"Part01_017LOPPE"	"De HW-registers zijn hoofdzakelijk van Hinsz, behalve de nieuwe registers Sesquialter, Trompet en Vox Humana."
"Part01_017LOPPE"	"De RP-registers zijn vooral van Freytag, behalve de nieuwe Scherp."
"Part01_018LEIDE"	"Windladen, windvoorziening, klaviatuur en mechanieken werden alle nieuw vervaardigd."
"Part01_018LEIDE"	"Een groot deel van de frontpijpen is nog van De Swart."
"Part01_018LEIDE"	"Binnenpijpwerk van zijn hand bevindt zich in de volgende registers: HW Bourdon 16', Praestant 8', Octaav 4', Octaav 2', Mixtuur, Scharp; BW Quintadeen 8', Octaav 4', Fluit 4', Gemshoorn 2'."
"Part01_018LEIDE"	"Bij latere klavieruitbreidingen vonden er aanvullingen plaats door Van Hagerbeer, Duyschot en Assendelft."
"Part01_018LEIDE"	"De Cornet (HW) is van Duyschot, zij het met enige aanvullingen."
"Part01_018LEIDE"	"Van Assendelft zijn de Quint 3' (HW) en de Holpijp 8' (BW)."
"Part01_018LEIDE"	"De pedaalregisters zijn nieuw, behalve een gedeelte van de Octaav 8' uit 1637."
"Part01_019HULST"	"Deling B/D tussen c1/cis1."
"Part01_019HULST"	"Van de hoofdwerkregisters zijn geheel of gedeeltelijk oud: Montre 8', Bourdon 8', Prestant 4', Flûte 4', Nasard 3', Doublette 2', Quarte de Nasard 2', Tierce 1 3/5', Cornet, Sesquialter en Mixture."
"Part01_019HULST"	"Op het borstwerk is de Doublette gedeeltelijk oud."
"Part01_019HULST"	"Dit register is afkomstig uit het ""katholieke"" orgel van 1775."
"Part01_019HULST"	"De windladen zijn van Delhaye."
"Part01_019HULST"	"Het kistpedaal is nog aanwezig."
"Part01_020WIJKB"	"De hoofdwerklade is van Verhofstadt (1717), de borstwerklade is nieuw."
