organid	name	place	year	building	whichorgan	organnumber	monumentnumber
Part14_000Brouwershaven	Brouwershaven, Gereformeerde Kerk Vrijgemaakt	Brouwershaven	1910	Gereformeerde Kerk Vrijgemaakt			
Part14_000Niezijl	Niezijl, Gereformeerde Kerk Vrijgemaakt	Niezijl	1907	Gereformeerde Kerk Vrijgemaakt		1065	
Part14_000Offengawier	Offingawier (Offenwier), Hervormde Kerk	Offingawier (Offenwier)	1908	Hervormde Kerk		1115	
Part14_000AmsterdamDominicus	Amsterdam, R.K. St-Dominicuskerk	Amsterdam	1903	R.K. St-Dominicuskerk		2064	
Part14_000Diemen	Diemen, R.K. St-Petrus Bandenkerk	Diemen	1910	R.K. St-Petrus Bandenkerk		1827	509011
Part14_000Oosterbeek	Oosterbeek, Remonstrantse Kerk	Oosterbeek	1909	Remonstrantse Kerk		2108	523661
Part14_000Roodeschool	Roodeschool, Gereformeerde Kerk Vrijgemaakt	Roodeschool	1908	Gereformeerde Kerk Vrijgemaakt		1974	
Part14_000Hallum	Hallum, Doopsgezinde Kerk	Hallum	1906	Doopsgezinde Kerk		589	
Part14_000Zunderdorp	Zunderdorp, Hervormde Kerk	Zunderdorp	1907	Hervormde Kerk		1589	6789
Part14_000GravenhageOLV	‘s-Gravenhage, R.K. Kerk O.L.V. Onbevlekt Ontvangen (Elandstraatkerk)	‘s-Gravenhage	1906	R.K. Kerk O.L.V. Onbevlekt Ontvangen (Elandstraatkerk)		2277	17509
Part14_000CappelleadIJssel	Capelle aan den IJssel, Hervormde Kerk (Dorpskerk)	Capelle aan den IJssel	1904	Hervormde Kerk (Dorpskerk)		1886	
Part14_000EckenWiel	Eck en Wiel, Hervormde Annakerk	Eck en Wiel	1909	Hervormde Annakerk		394	28303
Part14_000UithuizenRK	Uithuizen, R.K. St-Jacobuskerk	Uithuizen	1908	R.K. St-Jacobuskerk		1899	
Part14_000Delfstrahuizen	Delfstrahuizen, Hervormde Kerk	Delfstrahuizen	1909	Hervormde Kerk		303	
Part14_000Loosduinen	Loosduinen, Ontmoetingskerk	Loosduinen	ca 1905	Ontmoetingskerk			
Part14_000WijkaanZee	Wijk aan Zee, Hervormde Kerk (Dorpskerk)	Wijk aan Zee	1905	Hervormde Kerk (Dorpskerk)		1803	9460
Part14_000Oostkapelle	Oostkapelle, Hervormde Kerk	Oostkapelle	1903	Hervormde Kerk			
Part14_000Harmelen	Harmelen, Hervormde Kerk	Harmelen	1902	Hervormde Kerk		612	20825
Part14_000Heerenhoek	’s-Heerenhoek, R.K. St-Willibrorduskerk	’s-Heerenhoek	1907	R.K. St-Willibrorduskerk		636	9981
Part14_000Leerdam	Leerdam, Nederlands Gereformeerde Kerk (Hoogstraatkerk)	Leerdam	1903	Nederlands Gereformeerde Kerk (Hoogstraatkerk)			
Part14_000Peperga	Peperga, Voormalige Hervormde Kerk	Peperga	ca 1904	Voormalige Hervormde Kerk			38872
Part14_000Delft	Delft, Vierhovenkerk	Delft	1910	Vierhovenkerk			
Part14_000Zeist-HuisterHeide	Zeist-Huis ter Heide, Witte Kerkje	Zeist-Huis ter Heide	1904	Witte Kerkje			
Part14_000Bergeijk	Bergeijk, Hofkerk, R.K. Kerk St-Petrus Banden	Bergeijk	1902	Hofkerk, R.K. Kerk St-Petrus Banden			
Part14_000Hantumhuizen	Hantumhuizen (Hantumhuzen), Sint-Annakerk	Hantumhuizen (Hantumhuzen)	1907	Sint-Annakerk		596	38700
Part14_000Meddo	Meddo, R.K. Kerk H. Johannes de Doper	Meddo	1906	R.K. Kerk H. Johannes de Doper			
Part14_000Hierden	Hierden, Hervormde Kerk	Hierden	1903	Hervormde Kerk			
Part14_000Drachten	Drachten, Gereformeerde Zuiderkerk	Drachten	1904	Gereformeerde Zuiderkerk		373	
Part14_000TilburgGoirke	Tilburg, R.K. St-Dionysiuskerk (Goirke)	Tilburg	1905	R.K. St-Dionysiuskerk (Goirke)		2123	521052
Part14_000SintAnnaparochie	Sint Annaparochie (Sint Anne), Gereformeerde Kerk	Sint Annaparochie (Sint Anne)	1906	Gereformeerde Kerk			
Part14_000Hilversum	Hilversum, R.K. H. Hartkerk	Hilversum	1910	R.K. H. Hartkerk		689	
Part14_000Meedhuizen	Meedhuizen, Hervormde Kerk	Meedhuizen	1906	Hervormde Kerk			
Part14_000Sibrandaburen	Sijbrandaburen (Sibrandabuorren), Hervormde Kerk	Sijbrandaburen (Sibrandabuorren)	1903	Hervormde Kerk		1358	32318
Part14_000Hollandscheveld	Hollandscheveld, Hervormde Kerk	Hollandscheveld	1910	Hervormde Kerk		697	22262
Part14_000Groede	Groede, Hervormde Kerk	Groede	1903	Hervormde Kerk		548	31516
Part14_000Lutten	Lutten, Gereformeerde Kerk	Lutten	1906	Gereformeerde Kerk			
Part14_000NieuwegeinRK	Nieuwegein, R.K. Emmauskerk	Nieuwegein	1910	R.K. Emmauskerk			
Part14_000Oudegagaast	Oudega (Gaasterlân-Sleat), Hervormde Kerk	Oudega (Gaasterlân-Sleat)	1909	Hervormde Kerk		1189	21487
Part14_000HeegRK	Heeg, R.K. St-Josephkerk	Heeg	1904	R.K. St-Josephkerk			
Part14_000Suameer	Suameer (Sumar), Hervormde Kerk	Suameer (Sumar)	1907	Hervormde Kerk		1431	35680
Part14_000Roermond	Roermond, Onze Lieve Vrouwe Tenhemelopneming, Kapel in ‘t Zand	Roermond	1906	Onze Lieve Vrouwe Tenhemelopneming, Kapel in ‘t Zand			
Part14_000Waarder	Waarder, Gereformeerde Kerk	Waarder	1902	Gereformeerde Kerk			
Part14_000AmsterdamOost	Amsterdam, Oosterparkkerk	Amsterdam	1904	Oosterparkkerk			
Part14_000VelpNPB	Velp (Gld), Nederlandse Protestantenbond	Velp (Gld)	1909	Nederlandse Protestantenbond		2049	
Part14_000TilburgMaranatha	Tilburg, Maranathakerk	Tilburg	1906	Maranathakerk			
Part14_000Noordbergum	Noordbergum (Noardburgum), Hervormde Kerk	Noordbergum (Noardburgum)	1907	Hervormde Kerk		1085	512526
Part14_000Oldeholtwolde	Oldeholtwolde (Aldeholtwâlde), Hervormde Kerk	Oldeholtwolde (Aldeholtwâlde)	1905	Hervormde Kerk		1125	
Part14_000Middenbeemster	Middenbeemster, Hervormde Kerk	Middenbeemster	1908	Hervormde Kerk		981	8818
Part14_000Lochem	Lochem, Witte Kerk	Lochem	1910	Witte Kerk			
Part14_000Zwolle	Zwolle, Doopsgezinde Kerk	Zwolle	1907	Doopsgezinde Kerk			
Part14_000Borne	Borne, R.K. St-Stephanuskerk	Borne	1907	R.K. St-Stephanuskerk			
Part14_000Schinveld	Schinveld, R.K. St-Eligiuskerk	Schinveld	1904	R.K. St-Eligiuskerk		1346	42089
Part14_000Oppenhuizen	Oppenhuizen (Toppenhuzen), Johannestsjerke	Oppenhuizen (Toppenhuzen)	1909	Johannestsjerke		1172	39808
Part14_000GravenhageNoorderkerk	‘s-Gravenhage, Gereformeerde Noorderkerk	‘s-Gravenhage	1907	Gereformeerde Noorderkerk			
Part14_000Hazerswoude	Hazerswoude, R.K. H. Engelbewaarders	Hazerswoude	1904	R.K. H. Engelbewaarders			
Part14_000Holwerd	Holwerd (Holwert), Doopsgezinde Kerk	Holwerd (Holwert)	1906	Doopsgezinde Kerk		700	38710
Part14_000Edam	Edam, Doopsgezinde Kerk	Edam	1903	Doopsgezinde Kerk		468	14371
Part14_000WolvegaGer	Wolvega (Wolvegea), Ichtuskerk (voormalige Gereformeerde Kerk)	Wolvega (Wolvegea)	1910	Ichtuskerk (voormalige Gereformeerde Kerk)		1701	
Part14_000Zwartewaal	Zwartewaal, Hervormde Martinuskerk	Zwartewaal	1902	Hervormde Martinuskerk		1785	41506
Part14_000Steenbergen	Steenbergen, R.K. St-Gummaruskerk, koororgel	Steenbergen	1903	R.K. St-Gummaruskerk	koororgel	1400	34519
Part14_000Balkdoopsgez	Balk, Doopsgezinde Kerk	Balk	1908	Doopsgezinde Kerk		122	
Part14_000OosterwierumRK	Oosterwierum (Easterwierrum), R.K. St-Wirokerk	Oosterwierum (Easterwierrum)	1903	R.K. St-Wirokerk			
Part14_000Houten	Houten, R.K. Kerk Onze Lieve Vrouwe Tenhemelopneming	Houten	1907	R.K. Kerk Onze Lieve Vrouwe Tenhemelopneming		727	22665
Part14_000Twijzel	Twijzel (Twizel), Hervormde Kerk	Twijzel (Twizel)	1905	Hervormde Kerk		1478	7054
Part14_000EindhovenKronenhoef	Eindhoven, Kronehoef	Eindhoven	ca 1905	Kronehoef			
Part14_000IJsselstein	IJsselstein, R.K. St-Nicolaasbasiliek	IJsselstein	1908	R.K. St-Nicolaasbasiliek		740	20193
Part14_000Zenderen	Zenderen, Carmelietessenklooster	Zenderen	1908	Carmelietessenklooster			
Part14_000Idsegahuizum	Idsegahuizum (Skuzum), Hervormde Kerk	Idsegahuizum (Skuzum)	1908	Hervormde Kerk		742	39352
Part14_000IJhorst	IJhorst, Hervormde Kerk	IJhorst	1903	Hervormde Kerk			
Part14_000Oldehove	Oldehove, Hervormde Kerk	Oldehove	1903	Hervormde Kerk			
Part14_000Hattem	Hattem, Gasthuiskerk	Hattem	1909	Gasthuiskerk		1982	
Part14_000Nieuwegein-Vreeswijk	Nieuwegein-Vreeswijk, Hervormde Kerk (Dorpskerk)	Nieuwegein-Vreeswijk	1906	Hervormde Kerk (Dorpskerk)			
Part14_000Wassenaar	Wassenaar, Dorpskerk	Wassenaar	ca 1905	Dorpskerk		1620	38380
Part14_000Hertme	Hertme, R.K. St-Stephanuskerk	Hertme	1904	R.K. St-Stephanuskerk		1857	
Part14_000Winterswijk	Winterswijk, R.K. St-Jacobuskerk	Winterswijk	1906	R.K. St-Jacobuskerk		1687	
Part14_000Moddergat	Moddergat, Gereformeerde Kerk	Moddergat	1910	Gereformeerde Kerk		995	
Part14_000Heidenschap	Het Heidenschap (It Heidenskip), Voormalige Hervormde Kerk	Het Heidenschap (It Heidenskip)	1910	Voormalige Hervormde Kerk		648	
Part14_000Hensbroek	Hensbroek, Hervormde Kerk	Hensbroek	1907	Hervormde Kerk			
Part14_000Dorkwerd	Dorkwerd, Hervormde Kerk	Dorkwerd	1908	Hervormde Kerk			
Part14_000Benningbroek	Benningbroek, Hervormde Kerk	Benningbroek	1907	Hervormde Kerk		156	30680
Part14_000Zweeloo	Zweeloo, Hervormde Kerk	Zweeloo	1904	Hervormde Kerk			
Part14_000Folsgare	Folsgare (Folsgeare), Hervormde Kerk	Folsgare (Folsgeare)	1908	Hervormde Kerk		264	39762
Part14_000Uden	Uden, R.K. St-Petruskerk, Hoofdorgel	Uden	1906	R.K. St-Petruskerk	Hoofdorgel	2110	35829
Part14_000MedemblikRK	Medemblik, R.K. St-Martinuskerk	Medemblik	1905	R.K. St-Martinuskerk		2029	
Part14_000Utrecht	Utrecht, R.K. St-Catharinakathedraal	Utrecht	1903	R.K. St-Catharinakathedraal		1523	36264
Part14_000Musselkanaal	Musselkanaal, Hervormde Kerk	Musselkanaal	1903	Hervormde Kerk			
Part14_000Warfhuizen	Warfhuizen, Voormalige Hervormde Kerk	Warfhuizen	1910	Voormalige Hervormde Kerk		1980	
Part14_000WassenaarRK	Wassenaar, R.K. St-Willibrorduskerk	Wassenaar	1907	R.K. St-Willibrorduskerk			
Part14_000Rotterdam-OverschieRK	Rotterdam-Overschie, R.K. St-Petrus Bandenkerk	Rotterdam-Overschie	1904	R.K. St-Petrus Bandenkerk		1298	32926
Part14_000Rotterdam-Overschie	Rotterdam-Overschie, Grote Kerk	Rotterdam-Overschie	1910	Grote Kerk			
Part14_000Callantsoog	Callantsoog, Hervormde Kerk	Callantsoog	1909	Hervormde Kerk			
Part14_000DordrechtRem	Dordrecht, Remonstrantse Kerk	Dordrecht	1909	Remonstrantse Kerk		2037	
Part14_000Wilhelminaoord	Wilhelminaoord, Hervormde Kerk	Wilhelminaoord	1904	Hervormde Kerk		2059	37497
Part14_000Oosterland	Oosterland, Hervormde Kerk	Oosterland	1905	Hervormde Kerk			
Part14_000TenBoer	Ten Boer, Gereformeerde Kerk	Ten Boer	1907	Gereformeerde Kerk			
Part14_000NieuwleusenReh	Nieuwleusen, Hersteld Hervormde Rehobothkerk	Nieuwleusen	ca 1904	Hersteld Hervormde Rehobothkerk			
