organid	builder	year	originallocation
Part01_001MIDDE	Peter Gerritsz	1479	Utrecht, Nicolaikerk
Part01_002UTREJ	Gerrit Petersz	1509	
Part01_003ALKMA	Jan van Covelens	1511	
Part01_004OOSTH	onbekend	1521?	
Part01_005NIEUW	onbekend, waarschijnlijk Jan van Covelens	ca 1525	Amsterdam, Nieuwezijds Kapel
Part01_006AMDAM	Johan van Emden	1526	Scheemda, Hervormde Kerk
Part01_007KREWE	onbekend, wellicht Herman Niehoff of Cornelis Gerritsz	1531, met gebruikmaking van pijpwerk uit de 15e eeuw	
Part01_008BREDA	Jan Graurock?	1534	
Part01_009ROTTL	Hendrik Niehoff		
Part01_010GRON	onbekend, met gebruikmaking van delen van het vorige orgel (Johan then Damme 1481)	1542	
Part01_011ENKHU	waarschijnlijk Henrick Niehoff	1549	
Part01_012AMDAM	onbekend	ca 1550	Harenkarspel, Hervormde Kerk
Part01_013HATTE	onbekend	ca 1550	
Part01_014SCHIE	Hendrik Niehoff	1552	
Part01_015ABCOU	Henrick Niehoff	1557	Gouda, Grote of St-Janskerk
Part01_016BROUW	Henrick Niehoff	1557	
Part01_017LOPPE	onbekend	1562	
Part01_018LEIDE	Peter Jansz de Swart	1565	
Part01_019HULST	Loys Isoré	1612	
Part01_020WIJKB	Albert Kiespenning	ca 1615	
Part01_021ENKHU	D. Antonio?, uitbreiding van een 16e-eeuws orgel (Van Covelens/Niehoff?)	waarschijnlijk 1621	
Part01_022DENBO	Florentius Hocque/Hans Goltfus/Galtus en Germer van Hagerbeer	1634	
Part01_023LEIDE	Galtus en Germer van Hagerbeer, met gebruikmaking van vele oude delen	1643	
Part01_024MIDWO	Levinus Eekman, oorspronkelijk kabinetorgel	1630	borg Nienoord (?)
Part01_025PEIZE	Anthoni Verbeeck	1631	Groningen, Pepergasthuis, oorspronkelijke aanleg HW-BoW
Part01_026GRON	Anthoni Verbeeck	1635, met gebruikmaking van oudere delen	Bolsward, Broerekerk
Part01_027NOORD	onbekend, wellicht Anthonius Waelckens en Andreas de Mare	1640	
Part01_028GOES	Willem Diaken		
Part01_029ZUTPH	Hans Henrich, Arnold en Tobias Bader	1643	
Part01_030ALKMA	Galtus, Germer en Jacobus van Hagerbeer	1645	
Part01_031CUIJK	Andries Severijn	ca 1650	Luik, St-Laurentiusabdij (?)
Part01_032AMDAM	Germer en Jacobus van Hagerbeer	1651	
Part01_033ZEERI	Theodorus Faber	1651	
Part01_034MAAST	Andries Severijn	1652	
Part01_035AMDAM	Hans Wolff Schonat	1652	
Part01_036DRONR	Arnold en Tobias Bader	1657	
Part01_037SASSE	Hans Goltfus	1657	Delft, Gasthuiskerk
Part01_038AMDAM	Hans Wolff Schonat	1658	
Part01_039MARUM	Johan Rijmsmit	1658	Ginneken, Hervormde Kerk
Part01_040BLESS	Willem Meijnerts	1659	
Part01_041TERNA	Arnold en Tobias Bader	ca 1660	
Part01_042HELLU	onbekend	1661	
Part01_043MUIDE	onbekend, wellicht Jan Slegel III	waarschijnlijk 1661	
Part01_044TZAN	Hendrick Huis	1662	
Part01_045EDAM	Barend Smit	1663	
Part01_046HOLWI	Hendrick Huis, met gebruikmaking van oudere delen	1663	
Part01_047MAAST	onbekend, mogelijk R.Ancion	ca 1664	
Part01_048EINDH	onbekend	1667	Gits (B)
Part01_049KANTE	vermoedelijk Hendrick en Johannes Huis	1667/ca 1670	
Part01_050MEDEM	Pieter Backer	1671	
Part01_051BOXUM	Jan Harmensz Kamp	1675	
Part01_052DORDR	Nicolaas van Hagen	1675	
Part01_053BOXME	Conrad Ruprecht sr	1677	
Part01_054ADAM	Nicolaas Langlez	1680	
Part01_055STEEN	onbekend, vermoedelijk Hendrich Metzker	1680	
Part01_056WOUDR	vermoedelijk Stephanus Cousijns, met gebruikmaking van kleine orgel Grote Kerk te 's-Gravenhage	1680	's-Gravenhage, Kloosterkerk
Part01_057AARDE	onbekend, vermoedelijk Westfaalse bouwer	ca 1680	Groessen, R.K. Kerk
Part01_058DIRKS	onbekend, mogelijk Jan van Belle of Jacobus van Eynde	ca 1680	onbekende kerk in de kuststreek van Vlaanderen
