"organid"	"aids"	"pitch"	"temperature"	"range1"	"range2"	"windSys"	"windPres"	"consoleLoc"
"Part14_000Brouwershaven"	"koppelingen HW-NW, Ped-HW, Ped-NW
tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"twee regulateurs"	"74 mm"	"achterzijde"
"Part14_000Niezijl"	"knop voor inschakelen C-H Bourdon 16'
tremulant"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-c1"	"magazijnbalg met inspringende vouw, twee schepbalgen en handpomp (1907)"	"65 mm"	"rechterzijde"
"Part14_000Offengawier"	"ventiel (buiten werking)"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"magazijnbalg met twee schepbalgen en handpomp (1908)"	"65 mm"	"linkerzijde"
"Part14_000AmsterdamDominicus"	"koppelingen I-II, II-II 16', Ped-I, Ped-II
vrije combinatie
trede zwelkast Man II
tremulant"	"a1 = 439 Hz"	"evenredig zwevend"	"C-g3"	"C-d1"	"magazijnbalg met twee regulateurs (1903)"	"HW 100 mm, Rec 110 mm, Ped 120 mm"	"vrijstaande speeltafel beneden in de kerk"
"Part14_000Diemen"	"koppelingen I-II, I-II 16, Ped-I, Ped-II
vaste combinaties P MF F
automatisch pianopedaal
twee vrije combinaties
tremolo
trede zwelkast"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg"	"Man I en Ped 110 mm, Man 85 mm"	"verrijdbare vrijstaande speeltafel"
"Part14_000Oosterbeek"	"koppelingen HW-NW, Ped-HW, Ped-NW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met regulateur"	"64 mm"	"linkerzijde"
"Part14_000Roodeschool"	"windlosser"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-c1"	"magazijnbalg (1908) met regulateur"	"62 mm"	"linkerzijde"
"Part14_000Hallum"	"ventiel"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"magazijnbalg met twee schepbalgen en handpomp (1906)"	"65 mm"	"linkerzijde"
"Part14_000Zunderdorp"	"pedaalkoppel (trede)
tremulant
afsluiting manuaal (buiten gebruik), afsluiting pedaal"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-c1"	"magazijnbalg (1907)"	"80 mm"	"linkerzijde"
"Part14_000GravenhageOLV"	"koppelingen I-II, I-III, II-III, I-II 16', II-III 16', II-III 4', Ped-I, Ped-II, Ped-III
vaste combinaties P MF F FF T
twee vrije combinaties
automatisch pedaal
generaal crescendo.
tongwerken af
trede zwelkast III
trede zwelkast Vox Humana"	"a1 = 435 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg met acht regulateurs (1906)"	"magazijnbalg 162 mm, relais 142 mm, Ped 120 mm, HW 115 mm, Réc 105 mm, Pos 100 mm"	"vrijstaande speeltafel midden voor het instrument"
